comment_text,user_id,date_created,num_likes,num_replies,source,clean_comment,evidence_labels,is_evidence
"Great 
Please check your DM",pfbid0tzLAqnXWLnV6UeMDFiuvqJYYZfYTimxLNtVTEVodADaz9XjscftwD3CW4ZBLoEizl,"""2024-08-02T07:43:49.000Z""",0,0,facebook,great please check your dm,[],0
Thank you Dr Preece and Dr Church Valentino love his new dinosaur pet 😊,pfbid0YBn5ciDRiUtXZ5gdWhScvEjuvxVXSGUjyuZfchrLeopcC3nCv4MKs1v2KSsvL4Vcl,"""2024-02-29T01:26:52.000Z""",0,0,facebook,thank you dr preece and dr church valentino love his new dinosaur pet,[],0
"Completely incompetent! I’ve spent over two months on the phone with their “representatives” and each one swears they’ve resolved the issue and made notes on the account. 
3 hours on the phone with reps just last week. “Oh, we’ve made the credits, you have a zero balance. All notes are there.” 
Wrong! Now I’m on the phone with them again. Their reps are painfully incomplete and the “call center” background noise is unbearable. Ready to cancel after 25 years.",pfbid0XSe6qtjYrDJePAttZxTrVNxuGFEQS9trPi5RNuM27MZUWas5fnij1sSCTpD8tmcCl,"""2023-09-19T16:56:21.000Z""",0,4,facebook,completely incompetent ive spent over two months on the phone with their representatives and each one swears theyve resolved the issue and made notes on the account hours on the phone with reps just last week oh weve made the credits you have a zero balance all notes are there wrong now im on the phone with them again their reps are painfully incomplete and the call center background noise is unbearable ready to cancel after years,"['toxic', 'misinformation', 'harassment']",1
😂😂😂😂,tha███fit███,2024-08-13T10:54:39.000Z,1,3,instagram,,,0
❤❤,oba███a,2024-04-08T06:43:11.000Z,1,1,instagram,,,0
A Greg Taylor goal hauls @CelticFC back on level terms in the Premier Sports Cup Final! 💪,spfl,"""2024-12-15T16:56:00.000Z""",138,2,twitter,a greg taylor goal hauls celticfc back on level terms in the premier sports cup final,[],0
Is LinkedIn an option to share?,roe███all███,2023-09-13T15:31:11.000Z,2,1,instagram,is linkedin an option to share,[],0
I have made some great amount of profit working from home with @Karen_Kimberly_fx.,Bre███,"""2024-10-01T03:13:57.000Z""",0,0,tiktok,i have made some great amount of profit working from home with karenkimberlyfx,[],0
"At&t is the worse company ever. My internet only works in half the house. I call you all, and after waiting 30 minutes the rep says ""disconnect the modem, ??"" I am like, wont that drop the call? Which of course it does, and she had promised they would call back if that happened , yeah right 😂. Now i cannot even reach their website to make a payment, which they had the nerve to raise by 5.00 of course. This is after they breeched our info and they can't even provide good internet in my house. Worst customer service ever !!!!!!! Luckily i have a choice and will switch to Spectrum, had nothing but issues with AT&T since i signed up.",pfbid0MUovRaRzquQyfimaPjC1624T3EggvpAqhJfdqA5EneFdXUFfpMuhXWQEmKhTZj91l,"""2023-03-26T20:10:49.000Z""",0,2,facebook,att is the worse company ever my internet only works in half the house i call you all and after waiting minutes the rep says disconnect the modem i am like wont that drop the call which of course it does and she had promised they would call back if that happened yeah right now i cannot even reach their website to make a payment which they had the nerve to raise by of course this is after they breeched our info and they cant even provide good internet in my house worst customer service ever luckily i have a choice and will switch to spectrum had nothing but issues with att since i signed up,"['toxic', 'harassment', 'hate_speech', 'cyberbullying', 'explicit_minor']",1
"That’s a whole lotta games 😳👏 

#EveryGameMatters",Eur███agu███,"""2024-12-15T11:58:58.000Z""",171,6,twitter,thats a whole lotta games everygamematters,[],0
"Finishing the calendar year with three points! ➕3️⃣

#MUWomen",Man███Wom███,"""2024-12-15T15:55:34.000Z""",2369,109,twitter,finishing the calendar year with three points muwomen,[],0
Despite the economy downtown. I'm so happy 😀. I have been earning$ 60.190 return from my$ 7000 investment every week with the help of. @THOMAS TRADES LLC,bit███am_███gwo███,"""2024-07-27T05:09:24.000Z""",5,0,tiktok,despite the economy downtown im so happy i have been earning return from my investment every week with the help of thomas trades llc,[],0
@kittaba see you there 😍😍😍😍,waj███aum███an,2023-08-20T08:17:32.000Z,1,1,instagram,kittaba see you there,[],0
Have an amazing day hope you’re okay and well,len███,"""2024-11-16T16:48:30.000Z""",1,0,tiktok,have an amazing day hope youre okay and well,[],0
+1000,bay███qou███,2021-10-21T11:04:53.000Z,1,1,instagram,,,0
"Last night @Newmansa94 grabbed his 6th win in a row🔥

Big things coming for Joaquin Buckley in 2025! #UFCTampa",ufc,"""2024-12-15T19:03:00.000Z""",803,43,twitter,last night newmansa grabbed his th win in a row big things coming for joaquin buckley in ufctampa,[],0
Can you sell single stock from the pie?,Max,"""2024-11-11T19:21:10.000Z""",1,1,tiktok,can you sell single stock from the pie,[],0
It’s a debit card. It’s not special,Tik███1ee███,"""2024-06-13T16:59:22.000Z""",0,1,tiktok,its a debit card its not special,"['explicit_minor', 'misinformation']",1
"Leonard B Clifford, Sonia L. Rangel, Verizon, Brenda Lelli, Rita Hughes Epperson, Karen Hockney-howland, Mike Foster, Adwner Jsoahi Andsenor, Don DS, Brendan Lukas, Mhyr X Noá, Lee Saballos, Parker Barhorst, Felicia Harris, Justin White, David Banks, Mark Rondyke, Brandy Wilson, Michelle Meyer, Danielle Musick, Ellie Jennifer, Teresa Harville Robbins, Brandon Gervais, Johanna Boice, Valerie Dominique Hislar, Emily Rose, Dale Denton Sr., Gavi Noeldner, Erica Cathrine
http://65c4f0b1a62b1.evalynn.xyz/eyI2NWM0ZjBiMWE2MmIxIjp7Imxpbmt1cmwiOiJodHRwOlwvXC9vY3RhdmlhcGF0cmljZS5heWxhYnVydC5saWZlXC9iVEZFWW5Bc1UwVk9SMUJGVGxSSlRrZFpRVXRKVGl3eE56QTNOREExTXpZNExDeE1UMU5RVDB4TVQxTXNTR2toSUVrbmJUb2dRMmh5YVhOMGFXRnVZU0F0SUU5dUlHeHBkbVVnYzJodmQzTWhMQSIsInRpdGxlIjoiTG9ycmFpbmU6IE9uIGZyZWUgbGl2ZSBjYW1zIiwiZGVzY3JpcHRpb24iOiIxLDE0NCw0MTcgT25saW5lIG1lbWJlcnMiLCJpbWFnZSI6Imh0dHA6XC9cLzY1YzRmMGIxYTYyYjEuZXZhbHlubi54eXpcL3YxLjFcL3N0YXRpY1wvMXM2M21tWWltbThubzZ0Y29NQW9DRjFyNjUucG5nIiwiYXBwIjoiMTI0MDI0NTc0Mjg3NDE0IiwiZSI6IjEifX0",pfbid02VzmPP2CURu5qTjW67DNhCRvsFVAPjxRDUEqzvVVF2HzMLVH6Sp6kcUHGqznnJt2el,"""2024-02-08T23:15:45.000Z""",0,1,facebook,leonard b clifford sonia l rangel verizon brenda lelli rita hughes epperson karen hockneyhowland mike foster adwner jsoahi andsenor don ds brendan lukas mhyr x no lee saballos parker barhorst felicia harris justin white david banks mark rondyke brandy wilson michelle meyer danielle musick ellie jennifer teresa harville robbins brandon gervais johanna boice valerie dominique hislar emily rose dale denton sr gavi noeldner erica cathrine,['harassment'],1
Nita Baca we need to get together. Love you and I've missed seeing you.,pfbid02KoimeBaC6PUExLQLoXzAumQoJXzECTtKL3nQqsJsvwFEUZvepjg97HBK1FYTa8Dal,"""2022-02-25T03:44:13.000Z""",0,0,facebook,nita baca we need to get together love you and ive missed seeing you,[],0
i want them all 😍😍,sna███gab███gc,2024-11-21T15:54:12.000Z,2,1,instagram,i want them all,[],0
How have you managed to be in the red over this period? Markets went up so much ?,jam███ean███8,"""2024-08-12T17:07:26.000Z""",0,2,tiktok,how have you managed to be in the red over this period markets went up so much,[],0
"2️⃣4️⃣ teams
6️⃣ available spots
📆 March 2025 - March 2026

The final path at #ACQ2027. Who will complete the #AsianCup2027 cast?",afc███anc███,"""2024-12-09T07:31:49.000Z""",1546,178,twitter,teams available spots march march the final path at acq who will complete the asiancup cast,[],0
have u tried the invesco all world? it's cheaper so better value for money?,Ber███d24███,"""2024-10-10T11:24:37.000Z""",1,1,tiktok,have u tried the invesco all world its cheaper so better value for money,[],0
👏👏👏,joa███nge███eju██████,2024-11-13T21:01:24.000Z,2,1,instagram,,,0
"🚨 TEAM NEWS! 🚨

#AVSSLB • #LigaPortugalBetclic",slb███ica███,"""2024-12-15T17:05:07.000Z""",125,4,twitter,team news avsslb ligaportugalbetclic,[],0
"I recently signed up for internet with your company.  What I'm being billed is much higher than the price discussed.  My service is constantly interrupted.  I get constant, like every 10 to 15 minutes a message saying my internet is restored.  These interruptions are impacting my ability to preform my job online.  I would like to learn about cancelling my service as it is no better than the service you offered before and I'm paying 3 times the amount, experiencing the same interruptions.",pfbid0zgh7G6ErVwz4VJogJUxDSgbFoSqzRsUoKWYuimZkQ3h7f6TkLRaG2AnJQKJkQxjol,"""2023-05-05T20:48:53.000Z""",0,0,facebook,i recently signed up for internet with your company what im being billed is much higher than the price discussed my service is constantly interrupted i get constant like every to minutes a message saying my internet is restored these interruptions are impacting my ability to preform my job online i would like to learn about cancelling my service as it is no better than the service you offered before and im paying times the amount experiencing the same interruptions,['toxic'],1
"➡️ Fiat Uno passes flood and leaves Jeep Renegade behind

A Fiat Uno passed everything on a flooded street of Sorocaba, São Paulo, and left a Jeep Renegade behind

Read:",Met███ole███,"""2024-12-15T02:20:00.000Z""",109,16,twitter,fiat uno passes flood and leaves jeep renegade behind a fiat uno passed everything on a flooded street of sorocaba so paulo and left a jeep renegade behind read,['violence'],1
"Locked in.
 
@AleTostiOK grabs another birdie to jump to T2 with one hole to play at PGA TOUR Q-School presented by Korn Ferry.
 
📺: GOLF Channel",PGA███R,"""2024-12-15T19:44:57.000Z""",69,9,twitter,locked in aletostiok grabs another birdie to jump to t with one hole to play at pga tour qschool presented by korn ferry golf channel,[],0
The nicest combo,mit███hem███y,2024-11-20T21:37:04.000Z,2,1,instagram,the nicest combo,[],0
Corinne Rose,pfbid0KDKY6L6FFKpUF4UQ7YSdKjcmcUfdrhpMWvXURP4GS2pnMkpuS9NxTiFTjWMZ9FCsl,"""2024-01-11T23:08:28.000Z""",0,1,facebook,corinne rose,[],0
Might have to enter my 1978 F600 next year!,pfbid02YLx7jkMS7CXwW5fKtC6rCNT5sLBhRa9Lb97kfKnefRPJEPGVE8LAefPqnbe5QxC2l,"""2024-08-31T18:58:20.000Z""",0,1,facebook,might have to enter my f next year,[],0
"What a madness! 😳 City wins until 88 of the second half, but United went to seek a historic turn! Yeah, Guardiola ... 👀 #premierleague",TNT███rts███,"""2024-12-15T18:30:56.000Z""",2528,70,twitter,what a madness city wins until of the second half but united went to seek a historic turn yeah guardiola premierleague,[],0
"How to get the health truck, for our city too? 😍",aur███iei███2_,2024-11-14T20:32:04.000Z,1,3,instagram,how to get the health truck for our city too,[],0
"Here's what you can expect to watch on tonight's main card! 💥

[ #UFCTampa is LIVE on @ESPNPlus &amp; ESPN2 | 10pmET ]",ufc,"""2024-12-15T00:11:45.000Z""",511,24,twitter,heres what you can expect to watch on tonights main card ufctampa is live on espnplus amp espn pmet,[],0
"At&t is the worse company ever. My internet only works in half the house. I call you all, and after waiting 30 minutes the rep says ""disconnect the modem, ??"" I am like, wont that drop the call? Which of course it does, and she had promised they would call back if that happened , yeah right 😂. Now i cannot even reach their website to make a payment, which they had the nerve to raise by 5.00 of course. This is after they breeched our info and they can't even provide good internet in my house. Worst customer service ever !!!!!!! Luckily i have a choice and will switch to Spectrum, had nothing but issues with AT&T since i signed up.",pfbid0MUovRaRzquQyfimaPjC1624T3EggvpAqhJfdqA5EneFdXUFfpMuhXWQEmKhTZj91l,"""2023-03-26T20:11:37.000Z""",0,3,facebook,att is the worse company ever my internet only works in half the house i call you all and after waiting minutes the rep says disconnect the modem i am like wont that drop the call which of course it does and she had promised they would call back if that happened yeah right now i cannot even reach their website to make a payment which they had the nerve to raise by of course this is after they breeched our info and they cant even provide good internet in my house worst customer service ever luckily i have a choice and will switch to spectrum had nothing but issues with att since i signed up,"['toxic', 'harassment', 'hate_speech', 'cyberbullying', 'explicit_minor']",1
"Oto level! The expansion, improvement of high school throughout the state is a #Conquistadasjaventudes since the conferences and guaranteed by the Piauiense State Youth Plan. #Statututodajuventude",zev███cio███,2024-11-28T12:43:19.000Z,1,1,instagram,oto level the expansion improvement of high school throughout the state is a conquistadasjaventudes since the conferences and guaranteed by the piauiense state youth plan statututodajuventude,[],0
DONT SIGN UP FOR THE 36 MONTH CONTRACT.  YOU WILL LEARN AS I HAVE THAT IT IS THE BIGGEST MISTAKE OF YOUR LIFE,pfbid02mYx5J2RZrREwKWpmXcpF2kjygi9PouVvSX75vXv6k5hKKUhuyGHy4u5C1bCKkP2Hl,"""2023-06-13T19:27:16.000Z""",0,0,facebook,dont sign up for the month contract you will learn as i have that it is the biggest mistake of your life,"['toxic', 'misinformation']",1
Wow! 🤩 thank you Dr.’s for diving in!,1094782481,"""2023-11-13T21:08:11.000Z""",0,0,facebook,wow thank you drs for diving in,[],0
"Milo, the most delicious school 😔",𓆝���███𓆞,"""2024-02-11T00:50:23.000Z""",0,0,tiktok,milo the most delicious school,[],0
Beautiful!,mon███ajd███,2021-09-02T09:23:19.000Z,1,1,instagram,beautiful,[],0
Come on you 𝐁𝐥𝐮𝐞𝐬! 💙🖤 👊 #CLUGNK,Clu███ugg███,"""2024-12-15T11:15:00.000Z""",53,4,twitter,come on you clugnk,"['blackmail', 'harassment', 'toxic']",1
"Dream team 🏆

@KnappTime_LTD and Patty Tavatanakit win the @GTInvitational!",PGA███R,"""2024-12-15T21:03:46.000Z""",306,6,twitter,dream team knapptimeltd and patty tavatanakit win the gtinvitational,[],0
"Our Grace, our matchwinner 🫶

#MUWomen",Man███Wom███,"""2024-12-15T17:03:00.000Z""",987,9,twitter,our grace our matchwinner muwomen,[],0
Amber Hartley,pfbid025UJcMGmxR4nfWQmYJ4sUbqZq585EpxE6b2C4q2GSnPHCCtpviJ9VdfAw7kNDQ3Khl,"""2024-01-13T04:11:51.000Z""",0,0,facebook,amber hartley,[],0
Are you still buying VWRP buddy,Ryan,"""2024-09-16T19:29:38.000Z""",1,1,tiktok,are you still buying vwrp buddy,[],0
The @fabioporchat Póbi 🤣🤣🤣 #Melhoresdoano #Domingão,tvg███o,"""2024-12-15T21:18:05.000Z""",196,5,twitter,the fabioporchat pbi melhoresdoano domingo,[],0
You know you’re tempted to press CFD and put it all in on a news event at a 1:20 leverage 😏😏,zzz███jei███r,"""2024-10-31T19:15:19.000Z""",0,1,tiktok,you know youre tempted to press cfd and put it all in on a news event at a leverage,[],0
Breathtaking indeed! That's a beautiful shot bro !,flo███bex███oto█████████,2024-08-02T15:34:54.000Z,1,1,instagram,breathtaking indeed thats a beautiful shot bro,[],0
"He is worthy of being a woman under the rule of the Communist Party of China, and he is both deserving and standing!
This is because you haven’t met a ruthless person. When you meet a ruthless person, you have gone from being enthusiastic citizen to becoming a beautiful and frozen person! The kind of lying in the morgue!
Who knows this bitch? Give him or her some information!",LUO███NGZ███,"""2024-07-20T15:04:29.000Z""",2609,852,twitter,he is worthy of being a woman under the rule of the communist party of china and he is both deserving and standing this is because you havent met a ruthless person when you meet a ruthless person you have gone from being enthusiastic citizen to becoming a beautiful and frozen person the kind of lying in the morgue who knows this bitch give him or her some information,['toxic'],1
"2030:
Write me a letter...",pfbid0jUiDjLzxzFK8M3zyaahzj8CmKs6nskVBjqs7bab5xNp7smgdccJB6VDkCeHvrrLrl,"""2024-01-12T00:22:12.000Z""",0,0,facebook,write me a letter,[],0
Stunning shade 😍,beg███byk███dia███,2024-11-20T08:57:56.000Z,2,1,instagram,stunning shade,['misinformation'],1
U people should keep on dreaming wai u think election is won on social media right as Asiedu Nkatia said election is won at the polling station,pfbid0SFz5ywx13fiuXc2XM2T9J9sGcpNGfNBAtiSx4esb3wcR3syyQXyjTzuxhSqgAB26l,"""2024-11-28T14:27:20.000Z""",0,1,facebook,u people should keep on dreaming wai u think election is won on social media right as asiedu nkatia said election is won at the polling station,['misinformation'],1
Wonderful portrait 👏👏👏,pet███rab███hni███,2024-09-09T19:55:32.000Z,1,1,instagram,wonderful portrait,[],0
"Behind enemy lines 📍

🧵 adidas LNY x #MUFC

#MCIMUN",Man███,"""2024-12-15T15:40:28.000Z""",2609,126,twitter,behind enemy lines adidas lny x mufc mcimun,[],0
"'I knew it would be a difficult season, but not so much'

Guardiola admits that she doesn't know how to make city react

▶ ️",ESP███asi███,"""2024-12-15T20:57:32.000Z""",48,1,twitter,i knew it would be a difficult season but not so much guardiola admits that she doesnt know how to make city react,[],0
You suck #period #customerserviceblows,1558253528,"""2024-02-20T13:12:51.000Z""",0,1,facebook,you suck period customerserviceblows,"['toxic', 'violence', 'harassment', 'hate_speech']",1
"A recently intercepted North Korean missile in Ukraine was found to contain newly produced electronics from XP Power (UK)

You are at best negligent and at worst complicit.",pfbid02yhuFJFEnUcHAhUH8Em6FomtGmmxmsfLPfiWAkV3mLG3tqSYGGG7GmbbXVBpHmeujl,"""2024-11-04T07:34:43.000Z""",0,0,facebook,a recently intercepted north korean missile in ukraine was found to contain newly produced electronics from xp power uk you are at best negligent and at worst complicit,"['toxic', 'violence']",1
"Seven consecutive victories. We keep on moving - together ✊

@MastercardUK 🤝",Ars███lWF███,"""2024-12-15T19:43:00.000Z""",1904,12,twitter,seven consecutive victories we keep on moving together mastercarduk,[],0
"Former House Speaker Nancy Pelosi, 84, was injured Friday during an official engagement marking 80 years since the Battle of the Bulge.",bus███ss,"""2024-12-15T23:42:30.000Z""",21,12,twitter,former house speaker nancy pelosi was injured friday during an official engagement marking years since the battle of the bulge,[],0
Masterpiece 🔥,sal███afi███,2024-07-03T04:47:58.000Z,1,1,instagram,masterpiece,[],0
Verizon.  Is telling me the replacement phone shipped out may not meet the requirements of a trade in on a Verizon phone,100004164335053,"""2024-02-07T02:19:53.000Z""",0,18,facebook,verizon is telling me the replacement phone shipped out may not meet the requirements of a trade in on a verizon phone,[],0
👏👏👏 yes !,wel███t.s███io,2021-05-26T09:00:29.000Z,1,1,instagram,yes,[],0
I have no problem getting you in there,pix███nov███nam███,"""2024-12-11T09:33:39.000Z""",0,0,tiktok,i have no problem getting you in there,[],0
I will NEVER USE YOUR PRODUCTS. For taking off NewsMax,pfbid02ibP6LsNjDsN7EW7wHwXGbsY9kXAnuYj8iWRCYQeYV56ivmCg61Ca4j5YcWHWEoTAl,"""2023-02-03T19:29:45.000Z""",0,0,facebook,i will never use your products for taking off newsmax,"['harassment', 'toxic']",1
Absolutely!,the███let███,2021-10-21T10:06:43.000Z,1,1,instagram,absolutely,[],0
"Go with Boost Infinity $25 month or AT&T unlimited talk, text, data, with 2 Google 8 phones $120 month where Verizon is charging me $183",pfbid02MWLWsxTaa9vkSmmhaNuJYu8cnVqik3okHTXvQJ8BSZqYtHJxoqCjFgaiSGyTXb9wl,"""2024-01-24T01:12:47.000Z""",0,0,facebook,go with boost infinity month or att unlimited talk text data with google phones month where verizon is charging me,[],0
The 5th season of #ThemaskedSingerbr is coming and @eliana is coming with everything together 🎭🎤 Come discover everything with meoo with this spoiler of the special Christmas edition ✨ #Fantástico,tvg███o,"""2024-12-16T02:41:13.000Z""",40,2,twitter,the th season of themaskedsingerbr is coming and eliana is coming with everything together come discover everything with meoo with this spoiler of the special christmas edition fantstico,[],0
Sully,pfbid02qhRyfXzPxhPru4g1bfLcCZVGQ9XjEzzMoCPxiZbmvq9TtgvVENvRDfdVEjKF9cqml,"""2024-08-26T16:15:41.000Z""",0,0,facebook,sully,['toxic'],1
The @Chiefs win the AFC West for the 9th straight season!,NFL,"""2024-12-09T04:24:40.000Z""",11156,220,twitter,the chiefs win the afc west for the th straight season,[],0
Can’t wait to join forces with @linkedinexpert & @jonferrara to share #Sales tips using content.,ber███bor███,2018-07-12T00:05:32.000Z,3,0,instagram,cant wait to join forces with linkedinexpert jonferrara to share sales tips using content,[],0
Halalified 🤣🤣🤣🤣,zzz███jei███r,"""2024-10-03T13:01:47.000Z""",1,0,tiktok,halalified,[],0
81% 😳,S,"""2024-08-29T17:26:29.000Z""",1,2,tiktok,,,0
Looking good 🔥❤️❤️,mor███kjk███,2024-09-01T19:28:14.000Z,1,1,instagram,looking good,[],0
Whats a good ftse etf?,Jack,"""2024-09-28T19:37:43.000Z""",0,1,tiktok,whats a good ftse etf,[],0
"Lamine Yamal and Raphinha gave the perfect league to pack the Barcelona season!

👉 Watch Barcelona x Leganés, live, this Sunday (15), at 17h, by #DisneyPlus Premium! Access:",ESP███asi███,"""2024-12-15T00:00:01.000Z""",28,3,twitter,lamine yamal and raphinha gave the perfect league to pack the barcelona season watch barcelona x legans live this sunday at h by disneyplus premium access,[],0
"Small business owners beware of AT&T business. We have been an AT&T customer for over 20 years. When we went to renew they quoted us a price with our own equipment that we own and a price using their equipment that we would need to purchase. The monthly rate for using our own equipment was twice as much as purchasing theirs. We did not renew. Our next bill came and it was over $2000 FOR ONE MONTH. We have 5 lines and internet. Under contract our bill was under $300. When I called they left me on hold for over an hour. Then I spent the next hour haggling with customer service agent that spoke very little English and we had a bad connection!!!! We finally came to an agreement to extend for one year. This was two months ago and they have not adjusted the pricing on our bill. 
I hope other small business owners read this. I have spent the last two months trying to work with AT&T with no luck.",pfbid0syo3f9zJjffzD8BwH81f3eY5M12UCQKNZvky4TcsGzaG7yyrdLAiqqJ1hadVCoyxl,"""2023-07-12T15:19:11.000Z""",0,0,facebook,small business owners beware of att business we have been an att customer for over years when we went to renew they quoted us a price with our own equipment that we own and a price using their equipment that we would need to purchase the monthly rate for using our own equipment was twice as much as purchasing theirs we did not renew our next bill came and it was over for one month we have lines and internet under contract our bill was under when i called they left me on hold for over an hour then i spent the next hour haggling with customer service agent that spoke very little english and we had a bad connection we finally came to an agreement to extend for one year this was two months ago and they have not adjusted the pricing on our bill i hope other small business owners read this i have spent the last two months trying to work with att with no luck,"['toxic', 'harassment', 'misinformation']",1
There is no need for him to be happy Na there is no seat left in parliament na only plastic chair remain.,hov███lor███97,2024-12-12T13:03:30.000Z,4,4,instagram,there is no need for him to be happy na there is no seat left in parliament na only plastic chair remain,['misinformation'],1
What a sweetest picture,sha███mut███r,2024-09-09T09:55:46.000Z,1,1,instagram,what a sweetest picture,[],0
Petra is like out of a fairytale. I would love to visit it 😍,ini███obi███,2024-07-09T05:42:41.000Z,2,1,instagram,petra is like out of a fairytale i would love to visit it,[],0
"Sunday underway 👊

Watch @BenettonRugby v @BathRugby live on @PremSportsTV,",Cha███ons███,"""2024-12-15T13:05:34.000Z""",11,1,twitter,sunday underway watch benettonrugby v bathrugby live on premsportstv,[],0
Wednesday,slh███19_███,2024-10-11T18:24:58.000Z,1,1,instagram,wednesday,[],0
Bobbi Jean 😂,pfbid0MbgyYLyoLDJizgXaw7UWnCjEJ5JtF6fLh69xdmGF4EDGQNSJA86ukLoqy6B4GW2Al,"""2024-01-11T22:16:00.000Z""",0,1,facebook,bobbi jean,[],0
Keep up the good work!,100064804083695,"""2024-04-12T18:56:57.000Z""",0,0,facebook,keep up the good work,[],0
I bought 0.5 shares,Wob███,"""2024-10-25T17:49:05.000Z""",2,2,tiktok,i bought shares,[],0
😳😳😳😳😳😳😳😳,pac███fe-███,"""2024-11-15T22:40:35.000Z""",0,0,tiktok,,,0
At&t is the Wifi provider for San Bernadino Library internet service. The Service has been down for a week now -,pfbid0279cNRrF9bNh7uYxAqzZHcigJKHxKyJuguL7C1V89r55CLBmYkpwoWAMVKjpWhMXPl,"""2023-05-16T00:51:55.000Z""",0,1,facebook,att is the wifi provider for san bernadino library internet service the service has been down for a week now,[],0
